Search by,Search for,Email,Photo,Extra Information to Display (optional but good)
Aberavon / Aberafan,David Rees,David.Rees@senedd.wales,https://business.senedd.wales/UserData/5/0/2/Info00000205/bigpic.jpg,Welsh Labour MS for Aberavon
Aberavon / Aberafan,Luke Fletcher,Luke.Fletcher@senedd.wales,https://business.senedd.wales/UserData/4/3/6/Info00008634/bigpic.jpg,Plaid Cymru regional MS for South Wales West
Aberavon / Aberafan,Tom Giffard,Tom.Giffard@Senedd.Wales,https://business.senedd.wales/UserData/3/3/7/Info00008733/bigpic.jpg,Welsh Conservative regional MS for South Wales West
Aberavon / Aberafan,Altaf Hussain,Altaf.Hussain@senedd.wales,https://business.senedd.wales/UserData/3/4/5/Info00000543/bigpic.jpg,Welsh Conservative regional MS for South Wales West
Aberavon / Aberafan,Sioned Williams,Sioned.Williams@Senedd.Wales,https://business.senedd.wales/UserData/0/7/6/Info00008670/bigpic.jpg,Plaid Cymru regional MS for South Wales West
Aberconwy,Janet Finch-Saunders,Janet.Finch-Saunders@senedd.wales,https://business.senedd.wales/UserData/2/1/2/Info00000212/bigpic.jpg,Welsh Conservative MS for Aberconwy
Aberconwy,Llyr Gruffydd,Llyr.Gruffydd@senedd.wales,https://business.senedd.wales/UserData/5/2/4/Info00000425/bigpic.jpg,Plaid Cymru regional MS for North Wales
Aberconwy,Mark Isherwood,Mark.Isherwood@senedd.wales,https://business.senedd.wales/UserData/7/5/1/Info00000157/bigpic.jpg,Welsh Conservative regional MS for North Wales
Aberconwy,Sam Rowlands,Sam.Rowlands@senedd.wales,https://business.senedd.wales/UserData/4/3/7/Info00008734/bigpic.jpg,Welsh Conservative regional MS for North Wales
Aberconwy,Carolyn Thomas,Carolyn.Thomas@Senedd.Wales,https://business.senedd.wales/UserData/3/4/1/Info00005143/bigpic.jpg,Welsh Labour regional MS for North Wales
Alyn and Deeside / Alun a Glannau Dyfrdwy,Jack Sargeant,Jack.Sargeant@senedd.wales,https://business.senedd.wales/UserData/1/7/5/Info00006571/bigpic.jpg,Welsh Labour MS for Alyn and Deeside
Alyn and Deeside / Alun a Glannau Dyfrdwy,Llyr Gruffydd,Llyr.Gruffydd@senedd.wales,https://business.senedd.wales/UserData/5/2/4/Info00000425/bigpic.jpg,Plaid Cymru regional MS for North Wales
Alyn and Deeside / Alun a Glannau Dyfrdwy,Mark Isherwood,Mark.Isherwood@senedd.wales,https://business.senedd.wales/UserData/7/5/1/Info00000157/bigpic.jpg,Welsh Conservative regional MS for North Wales
Alyn and Deeside / Alun a Glannau Dyfrdwy,Sam Rowlands,Sam.Rowlands@senedd.wales,https://business.senedd.wales/UserData/4/3/7/Info00008734/bigpic.jpg,Welsh Conservative regional MS for North Wales
Alyn and Deeside / Alun a Glannau Dyfrdwy,Carolyn Thomas,Carolyn.Thomas@Senedd.Wales,https://business.senedd.wales/UserData/3/4/1/Info00005143/bigpic.jpg,Welsh Labour regional MS for North Wales
Arfon,Siân Gwenllian,Sian.Gwenllian@senedd.wales,https://business.senedd.wales/UserData/1/8/9/Info00004981/bigpic.jpg,Plaid Cymru MS for Arfon
