SeneddID,CategoryCaption,CategoryID,EntryInRespectOf,EntrySubject
241,"2. Category 2: Remunerated employment, office, profession etc",2,Partner,"Member of the Advisory Board - Bute Energy (Development of wind farms in Wales and CSR activities arising from any development). The business is exploring options in Powys, RCT and North Wales but no application has been submitted to date."
241,"4. Category 4: Gifts, hospitality, material benefit or advantage",4,Member,Two tickets and hospitality for the Women's Six Nations Wales v Ireland match on 25 March 2023 provided by the Wales Rugby Union.
241,"4. Category 4: Gifts, hospitality, material benefit or advantage",4,Member,Flights and two nights in a hotel in order to speak at the International Conference on Climate Justice organised by the Centre for Educational Research and Innovation at Barcelona University.
241,6. Category 6: Financial sponsorship,6,Candidate,All financial sponsorship of my 2021 election campaign was provided by Cardiff Central Constituency Labour Party.
241,8. Category 8: Land and property,8,Member,"Barn used as community centre and two acres of land, Llanfihangel GM, Conwy."
241,9. Category 9: Shareholdings,9,Member,"Awel Ltd, social enterprise renewable energy company"
241,9. Category 9: Shareholdings,9,Member,iShares PLC
241,9. Category 9: Shareholdings,9,Member,Siemens AG NPV
241,9. Category 9: Shareholdings,9,Member,Caledonia Investments PLC
241,9. Category 9: Shareholdings,9,Member,IMPAX Environmental Mkts PLC
241,9. Category 9: Shareholdings,9,Member,Janus Henderson Investments Gbl Sustainable Equity I Inc
241,9. Category 9: Shareholdings,9,Member,JLEN Environmental Assets Group NPV
241,9. Category 9: Shareholdings,9,Member,Renewables Infrastructure Group NPV
241,9. Category 9: Shareholdings,9,Member,-
241,9. Category 9: Shareholdings,9,Member,Astrazeneca PLC (ceased)
241,9. Category 9: Shareholdings,9,Member,Pearson PLC
241,9. Category 9: Shareholdings,9,Member,Reckitt Benickser Group PLC
241,9. Category 9: Shareholdings,9,Member,Unilever PLC
241,9. Category 9: Shareholdings,9,Member,Halma PLC
241,9. Category 9: Shareholdings,9,Member,Aberforth Smaller Co's Trust (ceased)
241,9. Category 9: Shareholdings,9,Member,BMO Investment Funds
241,9. Category 9: Shareholdings,9,Member,Henderson Smaller Cos Investment
241,9. Category 9: Shareholdings,9,Member,Troy Income and Growth Trust PLC
241,9. Category 9: Shareholdings,9,Member,Baillie Gifford
241,10. Category 10:Membership/Chairmanship of bodies in receipt of Senedd funds,10,Member,"Trustee - Eleanor Rathbone Charitable Trust (Management of charitable funds and disbursement of grants to charities, mainly on Merseyside) (Does not receive public funds)"
241,10. Category 10:Membership/Chairmanship of bodies in receipt of Senedd funds,10,Member,Voluntary Trustee - Good Food Llanedeyrn (not for profit charity) (Promotion of growing and eating good food)
241,10. Category 10:Membership/Chairmanship of bodies in receipt of Senedd funds,10,Member,"LEA Governor - St Teilo’s CiW School, Llanedeyrn"
241,11. Record of membership of societies,11,NA,Member - Welsh Fabian Society
241,11. Record of membership of societies,11,NA,Member - Welsh Cooperative Party
241,11. Record of membership of societies,11,NA,Member - UNITE the Union
